nome;concretezza;animatezza
marzo;astratto;non_animato
aprile;astratto;non_animato
maggio;astratto;non_animato
giugno;astratto;non_animato
sabato;astratto;non_animato
domenica;astratto;non_animato
luglio;astratto;non_animato
agosto;astratto;non_animato
settembre;astratto;non_animato
ottobre;astratto;non_animato
novembre;astratto;non_animato
abito;concreto;non_animato
abitudine;astratto;non_animato
accordo;astratto;non_animato
acqua;concreto;non_animato
addio;astratto;non_animato
aeroplano;concreto;non_animato
affare;astratto;non_animato
affetto;astratto;non_animato
agente;concreto;umano
agricoltura;astratto;non_animato
aiuto;astratto;non_animato
ala;concreto;non_animato
alba;concreto;non_animato
albergo;concreto;non_animato
albero;concreto;non_animato
alleato;concreto;umano
allevamento;astratto;non_animato
alpino;astratto;non_animato
altezza;astratto;non_animato
amante;concreto;umano
ambiente;concreto;non_animato
americano;concreto;non_animato
amica;concreto;non_animato
amicizia;astratto;non_animato
amico;astratto;non_animato
amministrazione;astratto;non_animato
amore;astratto;non_animato
anello;concreto;non_animato
angelo;concreto;umano
angolo;concreto;non_animato
anima;astratto;non_animato
animale;concreto;animato
animo;astratto;non_animato
anno;astratto;non_animato
ansia;astratto;non_animato
apparecchio;concreto;non_animato
appartamento;concreto;non_animato
appetito;astratto;non_animato
appuntamento;astratto;non_animato
arabo;astratto;non_animato
arancia;concreto;non_animato
architetto;concreto;umano
arco;concreto;non_animato
argomento;astratto;non_animato
aria;concreto;non_animato
arma;concreto;non_animato
arte;astratto;non_animato
articolo;astratto;non_animato
artista;concreto;umano
aspetto;astratto;non_animato
assassino;concreto;umano
atmosfera;astratto;non_animato
atteggiamento;astratto;non_animato
attenzione;astratto;non_animato
attesa;astratto;non_animato
attimo;astratto;non_animato
attività;astratto;non_animato
atto;astratto;non_animato
attore;concreto;umano
automobile;concreto;non_animato
autorità;astratto;non_animato
avvenimento;astratto;non_animato
avvenire;astratto;non_animato
avventura;astratto;non_animato
avversario;astratto;non_animato
avvocato;concreto;umano
azione;astratto;non_animato
babbo;concreto;umano
bacio;astratto;non_animato
bagno;astratto;non_animato
balcone;concreto;non_animato
ballo;astratto;non_animato
bambina;astratto;non_animato
bambino;concreto;umano
banca;concreto;non_animato
banco;concreto;non_animato
bandiera;concreto;non_animato
bar;concreto;non_animato
barba;concreto;non_animato
base;concreto;non_animato
battaglia;concreto;non_animato
beato;concreto;non_animato
bellezza;astratto;non_animato
bello;astratto;non_animato
bene;astratto;non_animato
bestia;concreto;non_animato
biancheria;concreto;non_animato
bianco;concreto;non_animato
bicchiere;concreto;non_animato
bicicletta;concreto;non_animato
biglietto;concreto;non_animato
bisogno;astratto;non_animato
bocca;concreto;non_animato
bomba;concreto;non_animato
bombardamento;astratto;non_animato
bontà;astratto;non_animato
bordo;concreto;non_animato
borghese;concreto;non_animato
borsa;concreto;non_animato
bosco;concreto;non_animato
bottiglia;concreto;non_animato
braccio;concreto;non_animato
brigadiere;concreto;umano
brutto;concreto;non_animato
bue;concreto;animato
bugia;astratto;non_animato
buio;astratto;non_animato
buongiorno;astratto;non_animato
buono;astratto;non_animato
caccia;astratto;non_animato
cadavere;concreto;non_animato
caffè;concreto;non_animato
calcio;astratto;non_animato
caldo;astratto;non_animato
calma;astratto;non_animato
calza;concreto;non_animato
cambio;astratto;non_animato
camera;concreto;non_animato
cameriere;concreto;umano
camicia;concreto;non_animato
cammino;astratto;non_animato
campagna;concreto;non_animato
campione;concreto;umano
campo;concreto;non_animato
canale;concreto;non_animato
cane;concreto;animato
canto;astratto;non_animato
canzone;concreto;non_animato
capello;concreto;non_animato
capitale;astratto;non_animato
capitano;concreto;umano
capo;concreto;non_animato
cappello;concreto;non_animato
carabiniere;concreto;umano
carattere;astratto;non_animato
carbone;concreto;non_animato
carcere;concreto;non_animato
carica;astratto;non_animato
carità;astratto;non_animato
carne;concreto;non_animato
carogna;astratto;non_animato
carriera;astratto;non_animato
carrozza;concreto;non_animato
carta;concreto;non_animato
